CDP1,CDP2,CDP3,CDP4,CDP5,CDP6,CDP7,CDP8,CDP9,CDP10,CDP11,CDP12,CDP13,CDP14,CDP15,CDP16,CDP17,CDP18,CDP19,CDP20,CDP21,CDP22,CDP23,CDP24,CDP25,CDP26,CDP27,CDP28,CDP29,CDP30,CDP31,CDP32,CDP33,CDP34
1028.43,1028.43,1035.54,1028.43,1028.43,1042.64,1035.54,1028.43,1035.54,1021.32,1028.43,1028.43,1021.32,1021.32,1028.43,1035.54,1028.43,1035.54,1035.54,1035.54,1035.54,1035.54,1035.54,1028.43,1042.64,1028.43,1042.64,1042.64,1035.54,1028.43,1042.64,1049.75,1021.32,1021.32
1085.29,1078.18,1099.5,1085.29,1085.29,1085.29,1092.39,1078.18,1085.29,1085.29,1078.18,1078.18,1078.18,1078.18,1085.29,1099.5,1099.5,1106.61,1106.61,1092.39,1099.5,1078.18,1071.07,1078.18,1071.07,1063.96,1078.18,1099.5,1099.5,1092.39,1092.39,1092.39,1085.29,1092.39
1184.79,1184.79,1199,1177.68,1184.79,1191.89,1149.25,1170.57,1163.46,1163.46,1149.25,1149.25,1149.25,1170.57,1177.68,1191.89,1184.79,1191.89,1213.21,1191.89,1184.79,1184.79,1191.89,1199,1184.79,1199,1199,1199,1206.11,1199,1191.89,1191.89,1184.79,1177.68
1284.29,1291.39,1298.5,1298.5,1284.29,1298.5,1270.07,1270.07,1270.07,1262.96,1277.18,1262.96,1277.18,1305.61,1291.39,1298.5,1312.71,1312.71,1298.5,1298.5,1305.61,1291.39,1298.5,1291.39,1305.61,1312.71,1312.71,1312.71,1312.71,1312.71,1319.82,1312.71,1312.71,1305.61
1469.07,1476.18,1476.18,1433.54,1454.86,1440.64,1419.32,1426.43,1454.86,1433.54,1476.18,1461.96,1533.04,1533.04,1497.5,1497.5,1504.61,1497.5,1490.39,1469.07,1483.29,1454.86,1476.18,1469.07,1490.39,1490.39,1483.29,1476.18,1490.39,1476.18,1476.18,1461.96,1454.86,1440.64
1412.21,1398,1405.11,1398,1369.57,1376.68,1383.79,1398,1454.86,1433.54,1461.96,1469.07,1511.71,1525.93,1540.14,1533.04,1504.61,1483.29,1447.75,1426.43,1412.21,1405.11,1412.21,1426.43,1426.43,1454.86,1461.96,1469.07,1490.39,1469.07,1454.86,1461.96,1454.86,1440.64
1632.54,1568.57,1568.57,1540.14,1469.07,1412.21,1454.86,1447.75,1511.71,1518.82,1476.18,1483.29,1518.82,1518.82,1589.89,1582.79,1540.14,1533.04,1504.61,1454.86,1461.96,1440.64,1405.11,1447.75,1454.86,1469.07,1511.71,1533.04,1533.04,1547.25,1547.25,1547.25,1547.25,1533.04
