Depth,GR,RHOB,Vel
1732.67,77.41,2.512,3302
1732.83,77.7,2.516,3290
1732.98,75.33,2.518,3274
1733.13,75.33,2.516,3258
1733.28,78.62,2.518,3241
1733.43,82.59,2.525,3268
1733.59,85.85,2.533,3306
1733.74,88.01,2.547,3346
1733.89,87.14,2.537,3204
1734.04,84.23,2.514,3236
1734.2,82.08,2.511,3284
1734.35,84.19,2.525,3328
1734.5,85.28,2.526,3368
1734.65,82.13,2.517,3374
1734.81,78.56,2.512,3306
1734.96,76.71,2.518,3219
1735.11,78.07,2.52,3162
1735.26,80.18,2.512,3214
1735.42,81.04,2.513,3092
1735.57,82.01,2.52,2901
1735.72,83.26,2.526,3097
1735.87,84.41,2.531,3224
1736.03,85.82,2.524,3261
1736.18,85.75,2.508,3245
1736.33,83.95,2.494,3208
1736.48,82.75,2.493,3187
1736.64,83.05,2.504,3202
1736.79,83.06,2.516,3213
1736.94,82.87,2.508,3063
1737.09,82.05,2.504,2961
1737.24,81.05,2.513,3304
1737.4,80.84,2.531,3239
1737.55,82.37,2.55,3276
1737.7,82.17,2.543,3303
1737.85,80.51,2.526,3343
1738.01,78.4,2.522,3377
1738.16,77.43,2.525,3337
1738.31,79.28,2.521,3303
1738.46,79.47,2.512,3303
1738.62,77.98,2.503,3314
1738.77,77.07,2.496,3331
1738.92,74.41,2.492,3365
1739.07,71.77,2.493,3393
1739.23,70.62,2.499,3411
1739.38,72.78,2.512,3417
1739.53,75.99,2.51,3399
1739.68,75.74,2.486,3364
1739.84,71.57,2.462,3319
1739.99,67.68,2.462,3302
1740.14,67.15,2.476,3296
1740.29,69.7,2.49,3296
1740.45,74.81,2.499,3302
1740.6,75.97,2.491,3307
1740.75,72.78,2.475,3312
1740.9,69.53,2.463,3323
1741.05,68.96,2.463,3329
1741.21,72.02,2.477,3337
1741.36,73.84,2.488,3340
1741.51,72.3,2.487,3340
1741.66,70.24,2.486,3340
1741.82,69.9,2.49,3340
1741.97,71.74,2.499,3340
1742.12,72.84,2.507,3328
1742.27,73.75,2.501,3322
1742.43,76.38,2.493,3317
1742.58,77.55,2.494,3311
1742.73,78.11,2.508,3305
1742.88,78.97,2.522,3305
1743.04,79.94,2.531,3311
1743.19,81.55,2.524,3322
1743.34,83.66,2.501,3327
1743.49,83.41,2.479,3344
1743.65,80.3,2.473,3367
1743.8,77.47,2.489,3378
1743.95,75.36,2.5,3384
1744.1,73.51,2.499,3384
1744.26,73.81,2.499,3372
1744.41,74.11,2.501,3361
1744.56,72.52,2.497,3338
1744.71,71.32,2.493,3321
1744.86,73.56,2.499,3298
1745.02,80.55,2.51,3287
1745.17,83,2.52,3271
1745.32,79.29,2.511,3254
1745.47,76.15,2.502,3238
1745.63,78.45,2.511,3228
1745.78,83.08,2.521,3206
1745.93,85.37,2.531,3201
1746.08,85.22,2.531,3276
1746.24,81.59,2.53,3320
1746.39,78.97,2.536,3331
1746.54,78.85,2.544,3286
1746.69,78.84,2.538,3253
1746.85,78.44,2.512,3270
1747,76.56,2.495,3325
1747.15,72.72,2.499,3387
1747.3,70.26,2.513,3428
1747.46,72.39,2.516,3465
1747.61,72.85,2.509,3446
1747.76,69,2.51,3410
1747.91,65.83,2.5,3387
1748.07,66.16,2.481,3364
1748.22,68.11,2.471,3346
1748.37,68.66,2.484,3340
1748.52,68.44,2.515,3357
1748.67,70.11,2.533,3410
1748.83,70.79,2.528,3482
1748.98,69.35,2.511,3525
1749.13,67.2,2.508,3551
1749.28,67.86,2.509,3433
1749.44,69.03,2.504,3391
1749.59,69.59,2.499,3403
1749.74,70.71,2.488,3415
1749.89,71.63,2.479,3438
1750.05,72.67,2.485,3472
1750.2,73.05,2.497,3527
1750.35,72.41,2.516,3559
1750.5,72.11,2.532,3540
1750.66,72.85,2.535,3417
1750.81,74.78,2.522,3370
1750.96,78.49,2.514,3375
1751.11,80.67,2.525,3398
1751.27,80.62,2.542,3422
1751.42,78.31,2.538,3446
1751.57,75.89,2.524,3445
1751.72,76.79,2.521,3445
1751.88,79.46,2.528,3463
1752.03,80.69,2.543,3500
1752.18,78.86,2.563,3544
1752.33,74.04,2.585,3589
1752.48,72.25,2.586,3621
1752.64,73.35,2.569,3668
1752.79,73.77,2.556,3717
1752.94,70.75,2.55,3730
1753.09,66.19,2.544,3695
1753.25,65.77,2.537,3620
1753.4,71.07,2.529,3536
1753.55,76.83,2.523,3492
1753.7,79.71,2.523,3510
1753.86,79.49,2.536,3567
1754.01,76.96,2.547,3619
1754.16,73.54,2.55,3680
1754.31,73.17,2.548,3592
1754.47,72.89,2.562,3566
1754.62,72.24,2.57,3585
1754.77,74.6,2.565,3490
1754.92,78.53,2.571,3465
1755.08,83.75,2.583,3465
1755.23,86.58,2.606,3508
1755.38,84.98,2.62,3565
1755.53,81.95,2.626,3617
1755.69,77.75,2.635,3657
1755.84,73.91,2.63,3684
1755.99,72.53,2.611,3616
1756.14,75,2.607,3564
1756.29,75.62,2.586,3570
1756.45,76.16,2.574,3616
1756.6,75.67,2.579,3669
1756.75,74.09,2.57,3760
1756.9,72.82,2.553,3948
1757.06,67.99,2.54,4165
1757.21,62.1,2.529,4282
1757.36,55.53,2.514,4339
1757.51,48.56,2.486,4338
1757.67,43.43,2.46,4338
1757.82,39.62,2.451,4338
1757.97,36.51,2.451,4356
1758.12,33.18,2.438,4385
1758.28,32.17,2.417,4434
1758.43,36.11,2.408,4505
1758.58,42.26,2.416,4589
1758.73,47.3,2.451,4642
1758.89,51.21,2.48,4473
1759.04,53.75,2.462,4335
1759.19,53.56,2.424,4232
1759.34,50.75,2.397,4214
1759.5,49.6,2.375,4223
1759.65,49.49,2.361,4232
1759.8,47.63,2.376,4213
1759.95,43.25,2.414,4195
1760.1,38.2,2.45,4168
1760.26,34.16,2.471,4159
1760.41,32.88,2.472,4159
1760.56,33.82,2.46,4158
1760.71,34.84,2.452,4176
1760.87,34.47,2.46,4229
1761.02,33.32,2.478,4303
1761.17,33.54,2.492,4379
1761.32,33.52,2.502,4458
1761.48,32.06,2.518,4555
1761.63,30.31,2.539,4668
1761.78,30.61,2.559,4793
1761.93,30.78,2.581,4900
1762.09,29.08,2.597,5012
1762.24,27.24,2.589,5102
1762.39,25.86,2.584,5168
1762.54,24.81,2.603,5195
1762.7,23.86,2.603,4997
1762.85,22.4,2.555,4744
1763,20.66,2.5,4632
1763.15,19.79,2.456,4621
1763.31,20.84,2.448,4621
1763.46,23.7,2.484,4664
1763.61,24.84,2.519,4719
1763.76,23.48,2.517,4800
1763.91,22,2.505,4895
1764.07,21.47,2.512,4993
1764.22,21.45,2.533,5136
1764.37,22.22,2.562,5203
1764.52,26.26,2.598,5259
1764.68,34.73,2.625,5258
1764.83,42.54,2.628,5202
1764.98,43.29,2.629,5094
1765.13,40.54,2.639,5029
1765.29,40.79,2.659,4940
1765.44,41.03,2.667,4854
1765.59,41.7,2.641,4807
1765.74,42.84,2.591,4795
1765.9,43.09,2.566,4794
1766.05,46.8,2.575,4736
1766.2,52.08,2.581,4488
1766.35,55.06,2.562,4292
1766.51,54.87,2.494,4121
1766.66,51.83,2.403,4036
1766.81,47.21,2.353,4036
1766.96,41.69,2.343,4052
1767.12,36.38,2.346,4077
1767.27,31.74,2.368,4120
1767.42,27.83,2.395,4154
1767.57,28.34,2.407,4207
1767.72,29.2,2.392,4225
1767.88,29.22,2.369,4252
1768.03,28.17,2.359,4270
1768.18,28.47,2.359,4261
1768.33,27.75,2.373,4279
1768.49,25.02,2.387,4306
1768.64,22.92,2.386,4354
1768.79,23.66,2.385,4402
1768.94,24.34,2.415,4451
1769.1,24.07,2.45,4492
1769.25,24,2.456,4522
1769.4,23.39,2.454,4553
1769.55,23.72,2.454,4553
1769.71,22.93,2.452,4542
1769.86,21.88,2.448,4511
1770.01,21.87,2.442,4479
1770.16,21.85,2.431,4449
1770.32,21.84,2.428,4438
1770.47,21.31,2.421,4438
1770.62,20.49,2.415,4448
1770.77,20.3,2.415,4468
1770.93,20.78,2.411,4477
1771.08,21.72,2.419,4477
1771.23,23.13,2.42,4477
1771.38,23.19,2.422,4466
1771.53,22.14,2.422,4436
1771.69,21.72,2.425,4396
1771.84,21.7,2.436,4328
1771.99,21.69,2.436,4281
1772.14,21.81,2.43,4225
1772.3,22.8,2.408,4180
1772.45,24.28,2.377,4136
1772.6,25.28,2.353,4093
1772.75,25.45,2.336,4034
1772.91,25.07,2.322,3937
1773.06,25.62,2.292,3867
1773.21,25.45,2.243,3844
1773.36,25.86,2.213,3851
1773.52,27.06,2.226,3882
1773.67,26.32,2.26,3912
1773.82,25.61,2.284,3951
1773.97,26.6,2.296,3991
1774.13,28.22,2.312,4023
1774.28,30.48,2.326,4073
1774.43,35.45,2.337,4124
1774.58,41.15,2.347,4141
1774.74,45.76,2.354,4158
1774.89,47.84,2.351,4149
1775.04,47.67,2.33,4131
1775.19,45.63,2.315,4131
1775.34,41.98,2.321,4131
1775.5,38.01,2.335,4156
1775.65,35.73,2.344,4165
1775.8,34.91,2.356,4191
1775.95,33.94,2.378,4164
1776.11,31.99,2.371,4086
1776.26,28.12,2.341,4019
1776.41,24.91,2.332,3995
1776.56,23.81,2.349,4120
1776.72,23.98,2.376,4244
1776.87,24.15,2.405,4337
1777.02,24.68,2.431,4404
1777.17,25.7,2.448,4474
1777.33,26.61,2.451,4535
1777.48,27.27,2.447,4588
1777.63,26.3,2.447,4631
1777.78,25.23,2.453,4663
1777.94,25.76,2.474,4685
1778.09,27.68,2.487,4685
1778.24,28.28,2.47,4554
1778.39,26.69,2.449,4277
1778.55,24.84,2.423,3999
1778.7,25.15,2.381,3813
1778.85,25.83,2.341,3755
1779,24.8,2.31,3798
1779.15,24.2,2.302,3857
1779.31,24.03,2.312,3926
1779.46,25.1,2.332,4022
1779.61,26.38,2.356,4055
1779.76,26.19,2.377,4080
1779.92,25.73,2.388,4096
1780.07,25.23,2.394,4157
1780.22,24.39,2.414,4201
1780.37,23.83,2.444,4236
1780.53,23.85,2.452,4254
1780.68,23.8,2.434,4236
1780.83,24.72,2.416,4182
1780.98,26.05,2.406,4112
1781.14,25.03,2.395,4044
1781.29,23.23,2.381,3954
1781.44,22.19,2.361,3861
1781.59,22.41,2.344,3743
1781.75,22.13,2.337,3786
1781.9,21.11,2.339,3922
1782.05,20.4,2.358,4064
1782.2,19.82,2.391,4190
1782.36,20.5,2.428,4325
1782.51,19.66,2.456,4432
1782.66,18.28,2.475,4523
1782.81,18.81,2.491,4618
1782.96,20.99,2.492,4695
1783.12,21.93,2.489,4751
1783.27,22.38,2.502,4797
1783.42,23.77,2.521,4809
1783.57,25.41,2.544,4808
1783.73,26.22,2.559,4796
1783.88,25.95,2.537,4761
1784.03,25.47,2.501,4738
1784.18,24.21,2.501,4715
1784.34,23.63,2.505,4703
1784.49,24.86,2.495,4669
1784.64,27.78,2.487,4603
1784.79,34.45,2.467,4488
1784.95,40.5,2.44,4457
1785.1,42.53,2.416,4570
1785.25,41.92,2.41,4746
1785.4,39.76,2.433,4973
1785.56,36.8,2.473,5142
1785.71,32.75,2.5,5237
1785.86,30.16,2.488,5195
1786.01,29.48,2.461,5035
1786.17,33.14,2.449,4946
1786.32,35.83,2.453,4885
1786.47,35.64,2.477,4836
1786.62,36.25,2.516,4824
1786.77,37.55,2.536,4788
1786.93,38.13,2.535,4776
1787.08,37.1,2.526,4742
1787.23,34.3,2.514,4696
1787.38,31.6,2.503,4640
1787.54,30.63,2.499,4565
1787.69,31.16,2.491,4523
1787.84,32.31,2.479,4481
1787.99,31.65,2.464,4440
1788.15,29.8,2.457,4400
1788.3,28.03,2.462,4400
1788.45,26.54,2.448,4390
1788.6,25.37,2.429,4322
1788.76,24.84,2.418,4211
1788.91,24.82,2.416,4140
1789.06,24.94,2.403,4063
1789.21,23.48,2.382,4021
1789.37,22.87,2.37,4005
1789.52,22.73,2.367,3996
1789.67,24.4,2.371,3996
1789.82,24.97,2.379,4004
1789.98,24.42,2.372,4036
1790.13,26.91,2.347,4078
1790.28,29.69,2.334,4129
1790.43,29.34,2.34,4181
1790.58,29.17,2.345,4190
1790.74,29.26,2.349,4163
1790.89,29.74,2.359,4093
1791.04,29.28,2.354,3946
1791.19,30.15,2.326,3779
1791.35,30.03,2.294,3708
1791.5,28,2.272,3700
1791.65,27.89,2.259,3749
1791.8,30.1,2.249,3867
1791.96,33.6,2.235,4000
1792.11,38.47,2.235,4125
1792.26,42.2,2.239,4178
1792.41,43.11,2.247,4142
1792.57,43.62,2.267,4073
1792.72,43.24,2.285,4023
1792.87,45.45,2.29,3998
1793.02,47.84,2.29,4031
1793.18,48.06,2.297,4167
1793.33,46.47,2.295,4238
1793.48,44.46,2.293,4220
1793.63,42.9,2.297,4140
1793.79,39.08,2.292,3902
1793.94,35.02,2.267,3642
1794.09,33.4,2.235,3444
1794.24,32.67,2.21,3311
1794.39,30.86,2.188,3235
1794.55,28.79,2.155,3214
1794.7,28.29,2.125,3208
1794.85,27.96,2.109,3219
1795,26.24,2.099,3239
1795.16,24.81,2.097,3277
1795.31,25.39,2.102,3321
1795.46,28.43,2.116,3389
1795.61,29.62,2.138,3504
1795.77,29.09,2.181,3606
1795.92,28.17,2.245,3715
1796.07,28.86,2.302,3837
1796.22,30.63,2.322,3953
1796.38,31,2.323,4058
1796.53,29.2,2.337,4126
1796.68,29.14,2.363,4126
1796.83,30.55,2.372,4125
1796.99,30.2,2.345,4057
1797.14,27.6,2.321,3991
1797.29,25.03,2.323,3927
1797.44,24.16,2.355,3873
1797.6,24.69,2.396,3835
1797.75,26.1,2.408,3812
1797.9,26.94,2.364,3812
1798.05,26.9,2.31,3834
1798.2,27.3,2.278,3856
1798.36,28.6,2.273,3864
1798.51,28.4,2.295,3804
1798.66,25.73,2.279,3690
1798.81,23.52,2.248,3556
1798.97,22.99,2.225,3403
1799.12,23.24,2.212,3373
1799.27,24.21,2.199,3408
1799.42,25.59,2.18,3432
1799.58,26.97,2.174,3449
1799.73,28.35,2.178,3498
1799.88,29.99,2.198,3640
1800.03,32.86,2.253,4068
1800.19,36.03,2.312,4578
1800.34,38.41,2.364,4836
1800.49,39.59,2.414,4945
1800.64,39.27,2.437,4653
1800.8,37.95,2.42,4170
1800.95,36.59,2.357,3852
1801.1,35.17,2.267,3693
1801.25,33.8,2.219,3665
1801.41,35.34,2.219,3631
1801.56,38.26,2.226,3559
1801.71,39.03,2.219,3447
1801.86,36.88,2.191,3313
1802.01,34.44,2.178,3296
1802.17,33.32,2.192,3318
1802.32,33.14,2.213,3341
1802.47,32.46,2.222,3358
1802.62,30.68,2.204,3375
1802.78,29.75,2.179,3404
1802.93,30.65,2.175,3427
1803.08,32.39,2.194,3475
1803.23,32.82,2.212,3550
1803.39,33.15,2.217,3608
1803.54,34.69,2.217,3662
1803.69,35.76,2.235,3582
1803.84,33.38,2.251,3444
1804,29.26,2.23,3289
1804.15,26.58,2.18,3167
1804.3,24.47,2.132,3121
1804.45,22.66,2.111,3141
1804.61,22.04,2.12,3271
1804.76,22.81,2.14,3407
1804.91,24.83,2.161,3491
1805.06,27.37,2.189,3504
1805.22,29.66,2.214,3497
1805.37,31.09,2.234,3466
1805.52,30.25,2.241,3348
1805.67,27.8,2.224,3227
1805.82,27.91,2.188,3165
1805.98,27.9,2.147,3140
1806.13,26.56,2.117,3120
1806.28,25.5,2.095,3105
1806.43,24.85,2.081,3080
1806.59,24.35,2.08,3047
1806.74,23.91,2.073,3023
1806.89,23.42,2.043,3023
1807.04,22.46,2.005,3046
1807.2,21.55,1.984,3065
1807.35,21.76,1.985,3070
1807.5,23.71,2.005,3060
1807.65,25.06,2.03,3065
1807.81,25.29,2.043,3079
1807.96,24.74,2.028,3113
1808.11,23.19,2.022,3152
1808.26,21.2,2.044,3183
1808.42,19.63,2.071,3198
1808.57,19.24,2.092,3214
1808.72,19.85,2.105,3224
1808.87,21.28,2.113,3234
1809.03,22.87,2.121,3239
1809.18,24.25,2.121,3245
1809.33,24.99,2.111,3213
1809.48,24.96,2.095,3192
1809.63,23.82,2.078,3176
1809.79,22.35,2.075,3217
1809.94,21.44,2.093,3304
1810.09,20.62,2.106,3377
1810.24,20.07,2.11,3436
1810.4,20.09,2.118,3486
1810.55,21.22,2.131,3546
1810.7,22.42,2.158,3598
1810.85,22.21,2.19,3644
1811.01,22.56,2.213,3706
1811.16,23.56,2.224,3791
1811.31,23.34,2.235,3873
1811.46,20.74,2.263,3958
1811.62,18.47,2.3,4036
1811.77,19.21,2.33,4149
1811.92,20.91,2.362,4266
1812.07,23.19,2.397,4399
1812.23,26.06,2.421,4520
1812.38,27.42,2.436,4636
1812.53,27.39,2.454,4736
1812.68,27.02,2.478,4817
1812.84,26.94,2.505,4913
1812.99,28.45,2.531,5012
1813.14,29.45,2.548,5037
1813.29,29.21,2.552,4948
1813.44,29.1,2.546,4899
1813.6,29.35,2.543,4998
1813.75,30.45,2.54,5049
1813.9,31.55,2.532,5022
1814.05,31.47,2.532,4897
1814.21,31.28,2.53,4676
1814.36,32.28,2.511,4474
1814.51,35.57,2.47,4233
1814.66,40.58,2.421,4059
1814.82,44.09,2.377,3882
1814.97,44.5,2.345,3645
1815.12,42.92,2.306,3490
1815.27,40.57,2.259,3359
1815.43,38.41,2.212,3259
1815.58,36.42,2.178,3170
1815.73,34.33,2.148,3114
1815.88,31.47,2.121,3090
1816.04,29.41,2.108,3104
1816.19,27.96,2.101,3129
1816.34,26.1,2.093,3089
1816.49,24.31,2.086,3084
1816.65,22.7,2.097,3168
1816.8,22.28,2.122,3351
1816.95,23.12,2.153,3596
1817.1,23.12,2.185,3775
1817.25,21.67,2.227,3894
1817.41,20.2,2.276,3980
1817.56,19.29,2.326,4053
1817.71,18.98,2.366,4121
1817.86,19.36,2.386,4156
1818.02,20.43,2.386,4182
1818.17,21.56,2.377,4190
1818.32,21.32,2.371,4163
1818.47,20.28,2.373,4111
1818.63,19.35,2.374,4094
1818.78,18.94,2.363,4119
1818.93,19.96,2.349,4162
1819.08,20.91,2.345,4189
1819.24,20.74,2.353,4197
1819.39,20.02,2.369,4188
1819.54,19.34,2.374,4144
1819.69,19.39,2.352,4092
1819.85,19.85,2.333,4025
1820,20.43,2.335,4016
1820.15,21.25,2.342,4082
1820.3,22.04,2.334,4116
1820.46,22.6,2.332,4142
1820.61,23.32,2.352,4116
1820.76,24.24,2.367,4048
1820.91,25.41,2.361,3919
1821.06,26.67,2.34,3865
1821.22,28.2,2.318,3834
1821.37,27.35,2.303,3754
1821.52,25.23,2.291,3622
1821.67,25.08,2.27,3494
1821.83,26.52,2.233,3403
1821.98,28.41,2.207,3356
1822.13,28.06,2.204,3334
1822.28,27.13,2.204,3350
1822.44,27.51,2.196,3432
1822.59,29.2,2.194,3536
1822.74,32.01,2.203,3627
1822.89,34.39,2.23,3634
1823.05,34.3,2.25,3523
1823.2,32.55,2.256,3390
1823.35,30.68,2.244,3384
1823.5,28.31,2.211,3479
1823.66,26.56,2.188,3560
1823.81,26.02,2.196,3632
1823.96,25.39,2.211,3680
1824.11,23.95,2.226,3714
1824.27,22.09,2.247,3672
1824.42,20.87,2.266,3585
1824.57,20.95,2.28,3502
1824.72,21.89,2.278,3423
1824.87,22.92,2.255,3364
1825.03,22.68,2.223,3319
1825.18,21.64,2.193,3285
1825.33,20.45,2.169,3263
1825.48,19.06,2.158,3263
1825.64,18.05,2.167,3266
1825.79,18.12,2.182,3285
1825.94,18.68,2.188,3307
1826.09,19.4,2.183,3351
1826.25,20.32,2.164,3415
1826.4,21.24,2.145,3469
1826.55,22.16,2.15,3527
1826.7,22.95,2.182,3595
1826.86,23.25,2.216,3641
1827.01,23.11,2.218,3675
1827.16,22.62,2.219,3648
1827.31,21.27,2.238,3607
1827.47,19.55,2.256,3594
1827.62,18.05,2.253,3647
1827.77,16.52,2.247,3758
1827.92,16.32,2.268,3853
1828.08,18.22,2.306,3899
1828.23,20.87,2.331,3694
1828.38,21.52,2.33,3626
1828.53,20.07,2.302,3593
1828.68,18.98,2.257,3625
1828.84,19.16,2.214,3700
1828.99,19.98,2.197,3763
1829.14,20.77,2.204,3844
1829.29,21.33,2.219,3912
1829.45,22.56,2.249,3951
1829.6,25.56,2.297,3959
1829.75,29.11,2.317,3896
1829.9,31.06,2.31,3776
1830.06,29.91,2.314,3671
1830.21,27,2.295,3617
1830.36,24.76,2.265,3677
1830.51,23.9,2.261,3761
1830.67,23.28,2.278,3864
1830.82,22.6,2.301,3965
1830.97,21.88,2.313,4063
1831.12,21.2,2.326,4139
1831.28,20.99,2.346,4219
1831.43,21.11,2.361,4276
1831.58,21.21,2.375,4368
1831.73,21.33,2.398,4436
1831.89,21.69,2.441,4387
1832.04,21.89,2.478,4235
1832.19,22.01,2.482,4137
1832.34,21.72,2.454,4094
1832.49,20.76,2.402,4094
1832.65,19.73,2.371,4163
1832.8,19.31,2.379,4198
1832.95,19.31,2.396,4093
1833.1,19.81,2.406,4136
1833.26,20.74,2.407,4384
1833.41,21.65,2.395,4620
1833.56,22.57,2.392,4776
1833.71,21.95,2.42,4630
1833.87,19.57,2.456,4278
1834.02,17.82,2.473,4091
1834.17,17.79,2.445,4049
1834.32,17.84,2.388,4090
1834.48,18.01,2.356,4150
1834.63,18.96,2.352,4203
1834.78,20.24,2.365,4257
1834.93,20.46,2.39,4212
1835.09,19.37,2.401,4123
1835.24,18.36,2.397,4089
1835.39,17.67,2.394,4114
1835.54,18.38,2.386,4175
1835.7,19.58,2.382,4256
1835.85,20.4,2.395,4340
1836,20.29,2.412,4378
1836.15,19.49,2.414,4378
1836.3,19.3,2.397,4377
1836.46,19.66,2.388,4387
1836.61,19.86,2.389,4416
1836.76,19.46,2.39,4456
1836.91,19.15,2.386,4470
1837.07,19.01,2.4,4496
1837.22,18.91,2.422,4526
1837.37,19.03,2.433,4536
1837.52,20.03,2.425,4525
1837.68,20.87,2.409,4443
1837.83,19.93,2.398,4345
1837.98,18.98,2.401,4260
1838.13,18.87,2.383,4152
1838.29,18.99,2.354,4083
1838.44,19.6,2.328,4091
1838.59,20.52,2.319,4143
1838.74,21.08,2.342,4195
1838.9,21.56,2.377,4259
1839.05,22.23,2.406,4314
1839.2,21.5,2.407,4440
1839.35,20.93,2.402,4563
1839.51,22.42,2.419,4660
1839.66,26.02,2.455,4738
1839.81,28.58,2.488,4784
1839.96,27.7,2.494,4807
1840.11,26.02,2.491,4866
1840.27,25.5,2.487,4926
1840.42,24.46,2.487,4926
1840.57,21.96,2.504,4889
1840.72,19.33,2.517,4888
1840.88,17.78,2.526,4949
1841.03,18.27,2.524,5037
1841.18,19.88,2.518,5142
1841.33,20.72,2.531,5182
1841.49,20.43,2.575,5155
1841.64,19.35,2.599,5141
1841.79,18.73,2.591,5127
1841.94,19.24,2.582,5127
1842.1,20.16,2.576,5153
1842.25,19.66,2.569,5180
1842.4,18.8,2.554,5201
1842.55,19.34,2.552,5234
1842.71,20.88,2.556,5261
1842.86,22.34,2.561,5303
1843.01,22.72,2.574,5317
1843.16,21.96,2.589,5360
1843.32,21.57,2.61,5374
1843.47,22.57,2.621,5403
1843.62,24.44,2.628,5417
1843.77,24.97,2.637,5417
1843.92,24.02,2.631,5431
1844.08,22.98,2.612,5461
1844.23,23.47,2.595,5460
1844.38,23.92,2.583,5460
1844.53,24.23,2.579,5429
1844.69,25.02,2.583,5429
1844.84,24.68,2.599,5399
1844.99,23.13,2.623,5354
1845.14,22.43,2.64,5144
1845.3,22.65,2.637,4925
1845.45,23.26,2.605,4888
1845.6,25.99,2.57,4888
1845.75,28.34,2.558,4936
1845.91,28.49,2.558,4986
1846.06,28.54,2.562,5011
1846.21,29.51,2.556,5010
1846.36,32.05,2.55,4997
1846.52,33.07,2.56,4972
1846.67,32.14,2.575,4934
1846.82,33.27,2.597,4884
1846.97,34.62,2.611,4856
1847.13,34.46,2.589,4822
1847.28,33.61,2.541,4777
1847.43,33.93,2.497,4730
1847.58,36.59,2.478,4685
1847.73,41.13,2.475,4630
1847.89,46.06,2.476,4586
1848.04,48.75,2.478,4512
1848.19,47.59,2.47,4441
1848.34,45,2.45,4362
1848.5,44.47,2.437,4276
1848.65,47.68,2.434,4176
1848.8,50.7,2.43,4098
1848.95,51.83,2.419,4014
1849.11,52.75,2.401,3903
1849.26,53.93,2.387,3827
1849.41,54.67,2.377,3782
1849.56,55.15,2.36,3746
1849.72,55.71,2.335,3732
1849.87,56.17,2.315,3724
1850.02,54.43,2.309,3748
1850.17,50.95,2.31,3776
1850.33,47.09,2.315,3835
1850.48,43.3,2.323,3926
1850.63,39.7,2.341,4022
1850.78,36.5,2.361,4089
1850.94,33.72,2.364,4123
1851.09,31.96,2.356,4096
1851.24,30.65,2.353,4122
1851.39,29.15,2.357,4192
1851.54,26.98,2.355,4320
1851.7,24.45,2.348,4447
1851.85,23.17,2.371,4549
1852,23.47,2.416,4591
1852.15,24.52,2.44,4623
1852.31,25.54,2.445,4590
1852.46,25.3,2.442,4537
1852.61,24.27,2.439,4495
1852.76,23.59,2.431,4464
1852.92,23.12,2.415,4454
1853.07,22.4,2.418,4434
1853.22,22.24,2.431,4413
1853.37,22.82,2.439,4383
1853.53,23.51,2.428,4335
1853.68,23.3,2.428,4260
1853.83,22.37,2.434,4151
1853.98,21.69,2.409,4040
1854.14,21.22,2.366,3991
1854.29,20.5,2.338,4056
1854.44,20.08,2.343,4124
1854.59,20.07,2.34,4081
1854.75,20.07,2.326,4014
1854.9,20.06,2.318,3957
1855.05,20.06,2.322,4005
1855.2,20.05,2.313,4175
1855.35,20.17,2.306,4389
1855.51,20.91,2.322,4572
1855.66,20.78,2.383,4625
1855.81,19.74,2.439,4498
1855.96,18.3,2.452,4358
1856.12,17.47,2.438,4263
1856.27,19.01,2.423,4272
1856.42,19.72,2.406,4367
1856.57,18.14,2.387,4455
1856.73,16.83,2.398,4537
1856.88,16.64,2.423,4622
1857.03,17.25,2.446,4688
1857.18,18.56,2.46,4710
1857.34,19.4,2.471,4732
1857.49,20.91,2.489,4631
1857.64,21.39,2.505,4588
1857.79,20.23,2.498,4609
1857.95,19.58,2.475,4652
1858.1,20.89,2.469,4707
1858.25,21.37,2.489,4787
1858.4,20.33,2.507,4857
1858.56,20.05,2.507,4930
1858.71,21.17,2.516,5017
1858.86,22.38,2.544,4941
1859.01,23.06,2.567,4880
1859.16,23.75,2.569,4808
1859.32,24.44,2.555,4738
1859.47,23.84,2.528,4659
1859.62,22.86,2.496,4648
1859.77,22.39,2.476,4615
1859.93,22.18,2.465,4593
1860.08,22.17,2.461,4519
1860.23,22.42,2.465,4467
1860.38,22.88,2.477,4397
1860.54,23.98,2.486,4319
1860.69,26.37,2.483,4208
1860.84,28.6,2.46,4069
1860.99,29.18,2.434,3930
1861.15,28.69,2.406,3794
1861.3,27.99,2.364,3772
1861.45,27.42,2.313,3764
1861.6,26.82,2.274,3757
1861.76,26.51,2.262,3757
1861.91,26.37,2.269,3749
1862.06,26,2.287,3756
1862.21,25.28,2.311,3785
1862.37,24.22,2.327,3866
1862.52,22.67,2.319,3936
1862.67,21.71,2.312,3975
1862.82,21.09,2.329,3943
1862.97,20.15,2.358,3896
1863.13,19.87,2.356,3857
1863.28,21.12,2.33,3842
1863.43,22.56,2.304,3819
1863.58,22.32,2.294,3782
1863.74,21.8,2.302,3704
1863.89,21.66,2.313,3635
1864.04,22.71,2.305,3563
1864.19,23.76,2.28,3531
1864.35,24.12,2.25,3537
1864.5,24.06,2.237,3562
1864.65,23.33,2.244,3588
1864.8,23.69,2.255,3587
1864.96,25.33,2.269,3542
1865.11,26.91,2.274,3492
1865.26,28.43,2.266,3431
1865.41,27.59,2.26,3383
1865.57,24.68,2.241,3360
1865.72,22.31,2.22,3365
1865.87,22,2.207,3406
1866.02,23.43,2.202,3472
