Depth,GR,RHOB,Vel
1630.41,73.44,2.393,2971
1630.56,78.96,2.419,2944
1630.72,80.96,2.439,2948
1630.87,77.63,2.425,2948
1631.02,74.83,2.401,2957
1631.17,71.22,2.39,2962
1631.33,67.72,2.398,2935
1631.48,69.08,2.416,2875
1631.63,70.3,2.426,2922
1631.78,70.02,2.422,2896
1631.94,71.4,2.404,2970
1632.09,72.16,2.387,3081
1632.24,71.7,2.382,3135
1632.39,69.94,2.382,3076
1632.55,68.32,2.389,3091
1632.7,69.16,2.4,3120
1632.85,72.43,2.407,3002
1633,76.32,2.404,3024
1633.16,75.62,2.398,3048
1633.31,72.09,2.396,3052
1633.46,68.82,2.411,3048
1633.61,67.02,2.424,3024
1633.77,68.09,2.422,2992
1633.92,70.56,2.418,2983
1634.07,73.22,2.416,2983
1634.22,74.68,2.424,3001
1634.37,74.5,2.423,3015
1634.53,72.82,2.405,3019
1634.68,71.29,2.394,3024
1634.83,71.83,2.39,3033
1634.98,73.08,2.403,3019
1635.14,74.39,2.402,2978
1635.29,74.18,2.393,2925
1635.44,72.68,2.395,2900
1635.59,70.9,2.392,2951
1635.75,69.07,2.386,3056
1635.9,70.02,2.382,3164
1636.05,73.54,2.384,3279
1636.2,75.92,2.394,3357
1636.36,76.17,2.415,3415
1636.51,74.03,2.447,3469
1636.66,71.97,2.463,3285
1636.81,71.04,2.459,3154
1636.97,68.82,2.453,3018
1637.12,69.69,2.443,2947
1637.27,71.15,2.419,2969
1637.42,71.74,2.407,3005
1637.58,72.71,2.402,3037
1637.73,72.14,2.393,3037
1637.88,71.13,2.391,3005
1638.03,70.68,2.401,2968
1638.18,71.62,2.406,2933
1638.34,73.85,2.403,2938
1638.49,76.12,2.406,2977
1638.64,78.07,2.412,3004
1638.79,77.73,2.408,3000
1638.95,75.51,2.396,3013
1639.1,72.42,2.394,3055
1639.25,70.25,2.397,3089
1639.4,70.09,2.389,2946
1639.56,70.42,2.382,2977
1639.71,70.65,2.382,3060
1639.86,71.65,2.388,2950
1640.01,74.55,2.397,3147
1640.17,76.8,2.385,3262
1640.32,77.08,2.372,3214
1640.47,76.46,2.377,3152
1640.62,73.21,2.394,3108
1640.78,72.75,2.412,3069
1640.93,76.11,2.399,3036
1641.08,78.29,2.386,3041
1641.23,77.12,2.389,3017
1641.39,73.72,2.405,2967
1641.54,71.04,2.422,3045
1641.69,73.05,2.416,3013
1641.84,74.27,2.392,2990
1641.99,71.64,2.37,2981
1642.15,69.43,2.369,2999
1642.3,69.71,2.368,3017
1642.45,68.36,2.37,3036
1642.6,68.25,2.385,3050
1642.76,67.93,2.398,3054
1642.91,68.63,2.397,3054
1643.06,69.39,2.38,3040
1643.21,70.06,2.37,3031
1643.37,70.3,2.369,3017
1643.52,68.91,2.376,3012
1643.67,69.32,2.382,3031
1643.82,70.78,2.387,3054
1643.98,72.83,2.386,3068
1644.13,72.9,2.394,3078
1644.28,70.94,2.396,3097
1644.43,69.98,2.397,3126
1644.59,70.65,2.405,3171
1644.74,71.78,2.404,3212
1644.89,71.28,2.4,3255
1645.04,69.01,2.403,3298
1645.2,67.13,2.424,3276
1645.35,67.77,2.445,3166
1645.5,72.16,2.446,3030
1645.65,77.51,2.423,2980
1645.8,77.4,2.386,3053
1645.96,75.13,2.367,3171
1646.11,76.35,2.371,3145
1646.26,78.33,2.382,3077
1646.41,77.29,2.396,3053
1646.57,75.41,2.389,3034
1646.72,74.76,2.374,3077
1646.87,74.65,2.37,3096
1647.02,74.78,2.375,2948
1647.18,74.87,2.393,2909
1647.33,75.38,2.4,3039
1647.48,76.43,2.396,3130
1647.63,77.71,2.401,3135
1647.79,78.97,2.411,3057
1647.94,80.63,2.41,2944
1648.09,78.72,2.402,2935
1648.24,74.01,2.395,2992
1648.4,71.41,2.387,3048
1648.55,71.53,2.381,3076
1648.7,72.68,2.383,2979
1648.85,74.19,2.385,2904
1649.01,77.59,2.383,2858
1649.16,80.95,2.378,2858
1649.31,81.71,2.379,2858
1649.46,79.44,2.374,2854
1649.61,76.5,2.365,2842
1649.77,75.08,2.36,2821
1649.92,75.8,2.361,2809
1650.07,77.78,2.369,2813
1650.22,79.74,2.368,2874
1650.38,80.94,2.358,2925
1650.53,79.56,2.351,2858
1650.68,77.83,2.337,2841
1650.83,78.29,2.334,2891
1650.99,80.45,2.351,2793
1651.14,83.1,2.371,2870
1651.29,83.06,2.367,2934
1651.44,82.64,2.368,3010
1651.6,81.73,2.383,3066
1651.75,79.92,2.412,3000
1651.9,79.83,2.439,2921
1652.05,79.85,2.425,2925
1652.21,80.69,2.378,2874
1652.36,82,2.353,2742
1652.51,82.95,2.364,2761
1652.66,83.3,2.394,2808
1652.82,79.57,2.402,2845
1652.97,75.67,2.4,2925
1653.12,76.39,2.393,3104
1653.27,75.94,2.37,3345
1653.42,71.75,2.357,3556
