cr
-3.85E-02
-3.86E-02
-3.88E-02
-3.93E-02
-3.99E-02
-4.08E-02
-4.18E-02
-4.30E-02
-4.44E-02
-4.59E-02
-4.76E-02
-4.96E-02
-5.16E-02
-5.39E-02
-5.63E-02
-5.89E-02
-6.17E-02
-6.46E-02
-6.78E-02
-7.10E-02
-7.44E-02
-7.80E-02
-8.18E-02
-8.56E-02
-8.97E-02
-9.39E-02
-9.82E-02
-1.03E-01
-1.07E-01
-1.12E-01
-1.17E-01
-1.22E-01
-1.27E-01
-1.32E-01
-1.38E-01
-1.43E-01
-1.49E-01
-1.55E-01
-1.61E-01
-1.67E-01
-1.73E-01
-1.79E-01
-1.86E-01
-1.92E-01
-1.99E-01
-2.06E-01
